party,name
c_swe,Centerpartiet
kd_swe,Kristdemokraterna
l_swe,Liberalerna
mp_swe,Miljöpartiet de gröna
m_swe,Moderaterna
s_swe,Socialdemokraterna
sd_swe,Sverigedemokraterna
v_swe,Vänsterpartiet
c_gbr,Konservative partiet
coop_gbr,Co-operative Party
dup_gbr,Demokratiska unionistpartiet
green_gbr,Green Party
lab_gbr,Labour Party
ld_gbr,Liberal Democrats
pc_gbr,Plaid Cymru
snp_gbr,Skotska nationalistpartiet
sf_gbr,Sinn Féin
