component,time frequency,stream,field name,long name,units,time averaging
lnd,mon,clm2.h0,ACTUAL_IMMOB,actual N immobilization,gN/m^2/s,mean
lnd,mon,clm2.h0,AGNPP,aboveground NPP,gC/m^2/s,mean
lnd,mon,clm2.h0,ANN_FAREA_BURNED,annual total fractional area burned,proportion,mean
lnd,mon,clm2.h0,AR,autotrophic respiration (MR + GR),gC/m^2/s,mean
lnd,mon,clm2.h0,BCDEP,total BC deposition (dry+wet) from atmosphere,kg/m^2/s,mean
lnd,mon,clm2.h0,BGNPP,belowground NPP,gC/m^2/s,mean
lnd,mon,clm2.h0,BTRAN,transpiration beta factor,unitless,mean
lnd,mon,clm2.h0,BUILDHEAT,heat flux from urban building interior to walls and roof,W/m^2,mean
lnd,mon,clm2.h0,COL_CTRUNC,column-level sink for C truncation,gC/m^2,mean
lnd,mon,clm2.h0,COL_FIRE_CLOSS,total column-level fire C loss,gC/m^2/s,mean
lnd,mon,clm2.h0,COL_FIRE_NLOSS,total column-level fire N loss,gN/m^2/s,mean
lnd,mon,clm2.h0,COL_NTRUNC,column-level sink for N truncation,gN/m^2,mean
lnd,mon,clm2.h0,CPOOL,temporary photosynthate C pool,gC/m^2,mean
lnd,mon,clm2.h0,CWDC,coarse woody debris C,gC/m^2,mean
lnd,mon,clm2.h0,CWDC_HR,coarse woody debris C heterotrophic respiration,gC/m^2/s,mean
lnd,mon,clm2.h0,CWDC_LOSS,coarse woody debris C loss,gC/m^2/s,mean
lnd,mon,clm2.h0,CWDN,coarse woody debris N,gN/m^2,mean
lnd,mon,clm2.h0,DEADCROOTC,dead coarse root C,gC/m^2,mean
lnd,mon,clm2.h0,DEADCROOTN,dead coarse root N,gN/m^2,mean
lnd,mon,clm2.h0,DEADSTEMC,dead stem C,gC/m^2,mean
lnd,mon,clm2.h0,DEADSTEMN,dead stem N,gN/m^2,mean
lnd,mon,clm2.h0,DENIT,total rate of denitrification,gN/m^2/s,mean
lnd,mon,clm2.h0,DISPVEGC,displayed veg carbon excluding storage and cpool,gC/m^2,mean
lnd,mon,clm2.h0,DISPVEGN,displayed vegetation nitrogen,gN/m^2,mean
lnd,mon,clm2.h0,DSTDEP,total dust deposition (dry+wet) from atmosphere,kg/m^2/s,mean
lnd,mon,clm2.h0,DSTFLXT,total surface dust emission,kg/m2/s,mean
lnd,mon,clm2.h0,DWT_CLOSS,total carbon loss from land cover conversion,gC/m^2/s,mean
lnd,mon,clm2.h0,DWT_CONV_CFLUX,conversion C flux (immediate loss to atm),gC/m^2/s,mean
lnd,mon,clm2.h0,DWT_CONV_NFLUX,conversion N flux (immediate loss to atm),gN/m^2/s,mean
lnd,mon,clm2.h0,DWT_NLOSS,total nitrogen loss from landcover conversion,gN/m^2/s,mean
