component,time frequency,stream,field name,long name,units,time averaging
atm,mon,cam.h0,TREFHTMX,Maximum reference height temperature over output period,K,maximum
atm,mon,cam.h0,TSMX,Maximum surface temperature over output period,K,maximum
atm,mon,cam.h0,WGUSTD,wind gusts from turbulence,m/s,maximum
atm,mon,cam.h0,ABSORB,Aerosol absorption,/m,mean
atm,mon,cam.h0,ANRAIN,Average rain number conc,m-3,mean
atm,mon,cam.h0,ANSNOW,Average snow number conc,m-3,mean
atm,mon,cam.h0,AODABS,Aerosol absorption optical depth 550 nm,,mean
atm,mon,cam.h0,AODDUST1,Aerosol optical depth 550 nm model 1 from dust,,mean
atm,mon,cam.h0,AODDUST2,Aerosol optical depth 550 nm model 2 from dust,,mean
atm,mon,cam.h0,AODDUST3,Aerosol optical depth 550 nm model 3 from dust,,mean
atm,mon,cam.h0,AODVIS,Aerosol optical depth 550 nm,,mean
atm,mon,cam.h0,AQRAIN,Average rain mixing ratio,kg/kg,mean
atm,mon,cam.h0,AQSNOW,Average snow mixing ratio,kg/kg,mean
atm,mon,cam.h0,AREI,Average ice effective radius,Micron,mean
atm,mon,cam.h0,AREL,Average droplet effective radius,Micron,mean
atm,mon,cam.h0,AWNC,Average cloud water number conc,m-3,mean
atm,mon,cam.h0,AWNI,Average cloud ice number conc,m-3,mean
atm,mon,cam.h0,bc_a1DDF,bc_a1 dry deposition flux at bottom (grav + turb),kg/m2/s,mean
atm,mon,cam.h0,bc_a1_logm,bc_a1 log concentration,kg/kg,mean
atm,mon,cam.h0,bc_a1_logv,bc_a1 log^2 concentration,kg/kg,mean
atm,mon,cam.h0,bc_a1SFWET,Wet deposition flux at surface,kg/m2/s,mean
atm,mon,cam.h0,bc_a1_SRF,bc_a1 in bottom layer,kg/kg,mean
atm,mon,cam.h0,bc_c1,bc_c1 in cloud water,kg/kg,mean
atm,mon,cam.h0,bc_c1DDF,bc_c1 dry deposition flux at bottom (grav + turb),kg/m2/s,mean
atm,mon,cam.h0,bc_c1SFWET,bc_c1 wet deposition flux at surface,kg/m2/s,mean
