world_6region,name
america,Amerika
east_asia_pacific,Östasien och Stilla havsområdet
europe_central_asia,Europa och Centralasien
middle_east_north_africa,Mellanöstern och Nordafrika
south_asia,Sydasien
sub_saharan_africa,Afrika söder om Sahara
